SA2 Code,Family Type Code,People Count Code,Dependent Children Count Code,Count
193400,2,4,11,12
227200,2,5,111,6
210700,3,3,11,6
102600,3,2,111,18
351400,2,3,11,18
143700,3,3,911,s
118900,3,3,111,s
120100,3,3,211,s
320100,2,5,911,s
226100,3,5,411,s
188900,2,7,311,s
354400,2,3,111,39
255100,3,2,11,48
311000,2,6,211,s
252200,2,5,111,s
179700,3,4,311,9
327000,2,6,311,s
313500,3,3,111,s
154700,2,6,11,s
195700,3,4,311,s
153300,3,2,111,54
233200,2,5,311,18
111600,3,4,111,s
182100,2,7,211,s
339900,3,2,911,s
198100,2,5,311,18
255000,3,2,111,s
226100,3,4,211,s
250800,2,5,911,s
140500,3,3,111,9
220700,1,2,11,135
160600,2,6,411,15
138700,2,7,211,s
347500,3,3,211,s
119000,3,2,111,15
124200,2,5,111,6
184500,2,5,311,6
254400,3,5,411,s
328600,3,4,311,30
154000,3,6,111,s
193600,2,7,311,s
217600,2,5,111,s
150400,2,7,311,s
156800,2,7,411,s
320300,2,4,211,72
326700,2,5,11,s
232400,2,4,211,42
161900,2,6,211,s
121600,2,5,211,s
160600,3,5,311,s
314800,2,6,311,s
218600,3,4,311,12
117000,2,6,311,s
130900,2,8,413,s
307000,3,2,11,12
314600,2,10,412,s
119600,3,4,11,s
108200,3,4,311,9
225600,1,2,11,219
156100,2,5,11,6
240700,2,7,412,6
129900,2,6,311,s
153900,2,5,111,9
109300,2,4,211,75
317000,2,3,11,39
160100,3,4,311,6
163500,3,3,111,24
356500,2,4,111,12
359100,2,6,311,s
325300,2,6,411,s
163600,3,2,11,51
128500,2,6,211,s
200200,3,2,11,27
150800,3,4,11,6
192100,3,4,211,s
341800,2,3,11,12
165900,2,5,211,s
178000,3,5,111,s
203500,3,2,911,s
326800,2,4,111,s
182800,3,4,311,6
330700,3,2,11,s
217800,1,2,11,309
245400,2,7,412,s
134700,2,5,311,45
344800,3,3,11,s
302200,2,5,11,s
168000,2,5,211,s
115200,2,4,211,84
337500,2,3,111,54
100700,3,4,11,s
103500,1,2,11,225
167200,2,5,211,s
361100,2,5,111,s
109100,2,5,311,39
350300,1,2,11,321
342100,2,5,311,18
195600,3,4,311,s
205400,3,3,211,21
150400,2,7,412,s
216700,3,3,211,12
100700,2,5,111,s
103900,2,5,111,s
221000,3,3,111,9
240000,3,5,111,s
236800,3,3,211,30
343600,2,5,311,21
144700,3,7,911,s
303500,2,6,311,s
318400,2,7,412,s
302700,2,3,111,18
155300,2,7,211,s
220400,2,8,411,s
101300,2,3,111,18
217400,2,5,111,s
359600,1,2,11,201
310800,3,2,11,s
212200,2,6,411,s
180700,3,4,111,s
103200,2,4,11,s
210300,2,4,111,9
324800,3,3,111,s
199900,3,2,11,21
325600,2,3,111,87
192800,2,3,11,33
161500,3,3,211,6
232900,2,6,111,s
339300,3,3,111,s
176500,2,3,111,60
346200,3,3,11,s
195200,3,2,11,66
144300,3,8,111,s
309300,2,6,911,s
337500,3,4,211,s
118300,3,3,211,24
248400,3,2,111,33
168900,2,4,111,6
146600,2,7,211,s
132600,3,4,211,s
252100,2,5,311,s
129700,2,6,211,s
229800,2,5,311,36
101700,2,6,311,s
160600,3,7,413,s
209200,3,6,211,s
110500,2,5,111,s
158300,2,4,11,30
107000,3,4,211,s
253000,3,5,311,s
314000,2,5,11,s
341300,3,6,412,s
315500,2,4,111,12
240500,2,5,11,s
317400,2,6,211,s
254900,3,3,211,30
131200,2,3,111,102
202500,3,2,111,30
