sa2,ethnicity,age,fully_imms,partial_imms
100100,Asian,1-4,1.0,0.0
100100,Maori,1-4,0.6197183098591549,0.08450704225352113
100100,Others,1-4,0.8095238095238095,0.047619047619047616
100100,Pacific,1-4,1.0,0.0
100100,Asian,13-17,1.0,0.0
100100,Maori,13-17,0.7899159663865546,0.11764705882352941
100100,Others,13-17,0.7586206896551724,0.0
100100,Pacific,13-17,1.0,0.0
100100,Asian,5-12,1.0,0.0
100100,Maori,5-12,0.7763157894736842,0.09210526315789473
100100,Others,5-12,0.6333333333333333,0.06666666666666667
100100,Pacific,5-12,1.0,0.0
100200,Maori,1-4,0.686046511627907,0.06976744186046512
100200,Others,1-4,0.6153846153846154,0.05128205128205128
100200,Pacific,1-4,0.6666666666666666,0.0
100200,Maori,13-17,0.8775510204081632,0.061224489795918366
100200,Others,13-17,0.7608695652173914,0.10869565217391304
100200,Pacific,13-17,0.6666666666666666,0.1111111111111111
100200,Asian,5-12,0.8333333333333334,0.0
100200,Maori,5-12,0.7731481481481481,0.08333333333333333
100200,Others,5-12,0.8235294117647058,0.0392156862745098
100200,Pacific,5-12,0.6666666666666666,0.0
100400,Asian,1-4,1.0,0.0
100400,Maori,1-4,0.6226415094339622,0.07547169811320754
100400,Others,1-4,0.6,0.13333333333333333
100400,Pacific,1-4,0.5,0.5
100400,Unknown,1-4,1.0,0.0
100400,Asian,13-17,0.0,0.0
100400,Maori,13-17,0.8771929824561403,0.12280701754385964
100400,Others,13-17,0.7575757575757576,0.09090909090909091
100400,Pacific,13-17,1.0,0.0
100400,Asian,5-12,1.0,0.0
100400,Maori,5-12,0.8,0.0782608695652174
100400,Others,5-12,0.8064516129032258,0.0
100400,Pacific,5-12,1.0,0.0
100500,Asian,1-4,1.0,0.0
100500,Maori,1-4,0.7192982456140351,0.03508771929824561
100500,Others,1-4,0.7692307692307693,0.07692307692307693
100500,Pacific,1-4,1.0,0.0
100500,Asian,13-17,1.0,0.0
100500,Maori,13-17,0.8202247191011236,0.056179775280898875
100500,Others,13-17,0.8518518518518519,0.07407407407407407
100500,Pacific,13-17,1.0,0.0
100500,Asian,5-12,1.0,0.0
100500,Maori,5-12,0.7478991596638656,0.09243697478991597
100500,Others,5-12,0.84,0.04
100500,Pacific,5-12,1.0,0.0
100600,Maori,1-4,0.5,0.16666666666666666
100600,Others,1-4,0.6153846153846154,0.07692307692307693
100600,Asian,13-17,0.25,0.0
100600,Maori,13-17,0.9375,0.0125
100600,Others,13-17,0.7894736842105263,0.0
100600,Pacific,13-17,1.0,0.0
100600,Asian,5-12,1.0,0.0
100600,Maori,5-12,0.831858407079646,0.07079646017699115
100600,Others,5-12,0.6774193548387096,0.06451612903225806
100600,Pacific,5-12,0.5,0.5
100700,Asian,1-4,0.6666666666666666,0.0
100700,Maori,1-4,0.6842105263157895,0.11695906432748537
100700,Others,1-4,0.875,0.0
100700,Pacific,1-4,0.6666666666666666,0.3333333333333333
100700,Asian,13-17,0.5,0.0
100700,Maori,13-17,0.8963730569948186,0.02072538860103627
100700,Others,13-17,0.7692307692307693,0.11538461538461539
100700,Pacific,13-17,0.6666666666666666,0.0
100700,Asian,5-12,0.8125,0.0625
100700,Maori,5-12,0.863768115942029,0.057971014492753624
100700,Others,5-12,0.75,0.03571428571428571
100700,Pacific,5-12,0.7333333333333333,0.2
100800,Asian,1-4,0.7777777777777778,0.1111111111111111
100800,Maori,1-4,0.6502463054187192,0.07881773399014778
100800,Others,1-4,0.6666666666666666,0.0
100800,Pacific,1-4,0.4444444444444444,0.3333333333333333
100800,Asian,13-17,0.75,0.0
100800,Maori,13-17,0.842443729903537,0.06752411575562701
