,area,business_code,value
0,100100,A,249.0
1,100200,A,192.0
2,100301,A,
3,100400,A,69.0
4,100500,A,75.0
5,100600,A,42.0
6,100700,A,75.0
7,100800,A,93.0
8,100900,A,63.0
9,101000,A,51.0
10,101101,A,87.0
11,101200,A,93.0
12,101300,A,60.0
13,101400,A,54.0
14,101500,A,48.0
15,101600,A,57.0
16,101700,A,51.0
17,101801,A,54.0
18,101900,A,84.0
19,102000,A,90.0
20,102100,A,48.0
21,102201,A,120.0
22,102300,A,108.0
23,102401,A,42.0
24,102501,A,51.0
25,102600,A,126.0
26,102700,A,45.0
27,102801,A,63.0
28,102900,A,48.0
29,103000,A,39.0
30,103101,A,57.0
31,103200,A,117.0
32,103301,A,72.0
33,103401,A,93.0
34,103501,A,93.0
35,103600,A,48.0
36,103700,A,18.0
37,103800,A,15.0
38,103900,A,18.0
39,104000,A,45.0
40,104101,A,66.0
41,104200,A,27.0
42,104301,A,9.0
43,104400,A,27.0
44,104501,A,18.0
45,104600,A,21.0
46,104700,A,132.0
47,104800,A,321.0
48,104900,A,216.0
49,105001,A,
50,105101,A,171.0
51,105200,A,33.0
52,105300,A,72.0
53,105400,A,345.0
54,105500,A,36.0
55,105601,A,51.0
56,105700,A,39.0
57,105800,A,36.0
58,105901,A,42.0
59,106000,A,18.0
60,106100,A,21.0
61,106201,A,36.0
62,106301,A,45.0
63,106401,A,18.0
64,106501,A,33.0
65,106600,A,33.0
66,106700,A,42.0
67,106800,A,27.0
68,106901,A,45.0
69,106902,A,12.0
70,107000,A,30.0
71,107100,A,9.0
72,107200,A,24.0
73,107300,A,48.0
74,107401,A,27.0
75,107501,A,30.0
76,107600,A,15.0
77,107700,A,42.0
78,107800,A,246.0
79,107901,A,
80,108000,A,60.0
81,108100,A,9.0
82,108200,A,30.0
83,108300,A,21.0
84,108400,A,
85,108500,A,33.0
86,108601,A,159.0
87,108701,A,30.0
88,108800,A,36.0
89,108900,A,39.0
90,109003,A,33.0
91,109004,A,87.0
92,109101,A,639.0
93,109200,A,381.0
94,109301,A,195.0
95,109400,A,396.0
96,109500,A,192.0
97,109600,A,57.0
98,109700,A,174.0
99,109800,A,87.0
100,109900,A,33.0
101,110000,A,
102,110100,A,9.0
103,110201,A,144.0
104,110300,A,
105,110400,A,312.0
106,110501,A,42.0
107,110600,A,
108,110700,A,195.0
109,110800,A,120.0
110,110900,A,54.0
111,111000,A,
112,111100,A,39.0
113,111200,A,135.0
114,111300,A,72.0
115,111400,A,42.0
116,111500,A,60.0
117,111601,A,12.0
118,111602,A,48.0
119,111700,A,45.0
120,111801,A,27.0
121,111901,A,36.0
122,112001,A,
123,112101,A,30.0
124,112102,A,0.0
125,112200,A,15.0
126,112301,A,54.0
127,112401,A,66.0
128,112500,A,42.0
129,112600,A,45.0
130,112701,A,9.0
131,112702,A,0.0
132,112800,A,9.0
133,112901,A,6.0
134,112902,A,3.0
135,113000,A,9.0
136,113101,A,6.0
137,113201,A,60.0
138,113300,A,3.0
139,113401,A,9.0
140,113402,A,24.0
141,113500,A,18.0
142,113600,A,6.0
143,113700,A,
144,113800,A,3.0
145,113900,A,6.0
146,114000,A,9.0
147,114101,A,9.0
148,114102,A,3.0
149,114201,A,12.0
150,114300,A,0.0
151,114400,A,6.0
152,114500,A,9.0
153,114600,A,6.0
154,114701,A,66.0
