,area,employment_status,value
0,100100,employee,603.0
1,100200,employee,867.0
2,100301,employee,9.0
3,100400,employee,507.0
4,100500,employee,444.0
5,100600,employee,423.0
6,100700,employee,810.0
7,100800,employee,1155.0
8,100900,employee,375.0
9,101000,employee,252.0
10,101101,employee,699.0
11,101200,employee,309.0
12,101300,employee,354.0
13,101400,employee,279.0
14,101500,employee,189.0
15,101600,employee,243.0
16,101700,employee,180.0
17,101801,employee,432.0
18,101900,employee,381.0
19,102000,employee,315.0
20,102100,employee,390.0
21,102201,employee,813.0
22,102300,employee,504.0
23,102401,employee,498.0
24,102501,employee,303.0
25,102600,employee,720.0
26,102700,employee,282.0
27,102801,employee,789.0
28,102900,employee,354.0
29,103000,employee,888.0
30,103101,employee,927.0
31,103200,employee,474.0
32,103301,employee,522.0
33,103401,employee,582.0
34,103501,employee,1458.0
35,103600,employee,222.0
36,103700,employee,432.0
37,103800,employee,198.0
38,103900,employee,621.0
39,104000,employee,159.0
40,104101,employee,489.0
41,104200,employee,165.0
42,104301,employee,384.0
43,104400,employee,198.0
44,104501,employee,639.0
45,104600,employee,600.0
46,104700,employee,261.0
47,104800,employee,669.0
48,104900,employee,816.0
49,105001,employee,
50,105101,employee,1197.0
51,105200,employee,627.0
52,105300,employee,720.0
53,105400,employee,1431.0
54,105500,employee,822.0
55,105601,employee,627.0
56,105700,employee,384.0
57,105800,employee,1398.0
58,105901,employee,1338.0
59,106000,employee,771.0
60,106100,employee,1137.0
61,106201,employee,1416.0
62,106301,employee,552.0
63,106401,employee,633.0
64,106501,employee,1539.0
65,106600,employee,1365.0
66,106700,employee,543.0
67,106800,employee,954.0
68,106901,employee,993.0
69,106902,employee,732.0
70,107000,employee,1296.0
71,107100,employee,300.0
72,107200,employee,933.0
73,107300,employee,1332.0
74,107401,employee,789.0
75,107501,employee,1164.0
76,107600,employee,432.0
77,107700,employee,534.0
78,107800,employee,921.0
79,107901,employee,33.0
80,108000,employee,603.0
81,108100,employee,639.0
82,108200,employee,1008.0
83,108300,employee,903.0
84,108400,employee,
85,108500,employee,894.0
86,108601,employee,828.0
87,108701,employee,1044.0
88,108800,employee,1026.0
89,108900,employee,432.0
90,109003,employee,396.0
91,109004,employee,549.0
92,109101,employee,1230.0
93,109200,employee,615.0
94,109301,employee,1818.0
95,109400,employee,762.0
96,109500,employee,525.0
97,109600,employee,471.0
98,109700,employee,819.0
99,109800,employee,840.0
100,109900,employee,759.0
101,110000,employee,
102,110100,employee,306.0
103,110201,employee,555.0
104,110300,employee,
105,110400,employee,1140.0
106,110501,employee,777.0
107,110600,employee,
108,110700,employee,1026.0
109,110800,employee,807.0
110,110900,employee,516.0
111,111000,employee,
112,111100,employee,966.0
113,111200,employee,1506.0
114,111300,employee,1506.0
115,111400,employee,282.0
116,111500,employee,552.0
117,111601,employee,462.0
118,111602,employee,699.0
119,111700,employee,1263.0
120,111801,employee,336.0
121,111901,employee,327.0
122,112001,employee,
123,112101,employee,675.0
124,112102,employee,63.0
125,112200,employee,468.0
126,112301,employee,711.0
127,112401,employee,1458.0
128,112500,employee,720.0
129,112600,employee,648.0
130,112701,employee,1590.0
131,112702,employee,414.0
132,112800,employee,663.0
133,112901,employee,999.0
134,112902,employee,660.0
135,113000,employee,1044.0
136,113101,employee,1524.0
137,113201,employee,663.0
138,113300,employee,1896.0
139,113401,employee,1125.0
140,113402,employee,678.0
141,113500,employee,630.0
142,113600,employee,1056.0
143,113700,employee,
144,113800,employee,420.0
145,113900,employee,1233.0
146,114000,employee,1566.0
147,114101,employee,447.0
148,114102,employee,453.0
149,114201,employee,561.0
150,114300,employee,30.0
151,114400,employee,1215.0
152,114500,employee,372.0
153,114600,employee,1164.0
154,114701,employee,687.0
155,114801,employee,537.0
156,114901,employee,1089.0
157,114902,employee,927.0
158,115001,employee,2229.0
159,115002,employee,1020.0
160,115100,employee,1224.0
161,115200,employee,987.0
162,115300,employee,366.0
163,115400,employee,699.0
164,115501,employee,747.0
165,115601,employee,669.0
166,115700,employee,1311.0
167,115800,employee,1371.0
168,115901,employee,1548.0
169,116000,employee,570.0
170,116101,employee,804.0
171,116200,employee,1173.0
172,116300,employee,330.0
173,116401,employee,675.0
174,116500,employee,1257.0
175,116601,employee,1062.0
176,116701,employee,1920.0
177,116801,employee,1671.0
178,116900,employee,1608.0
179,117001,employee,2523.0
180,117002,employee,687.0
181,117003,employee,156.0
182,117100,employee,501.0
183,117201,employee,1329.0
184,117202,employee,1104.0
185,117300,employee,771.0
186,117400,employee,996.0
187,117500,employee,1575.0
188,117600,employee,1437.0
189,117700,employee,1593.0
190,117800,employee,996.0
191,117900,employee,1734.0
192,118001,employee,753.0
193,118100,employee,1467.0
194,118200,employee,1902.0
195,118300,employee,1353.0
196,118400,employee,1713.0
197,118501,employee,951.0
198,118502,employee,1014.0
199,118600,employee,276.0
200,118700,employee,1374.0
201,118800,employee,9.0
202,118900,employee,1503.0
203,119000,employee,1203.0
204,119100,employee,1482.0
205,119201,employee,831.0
206,119301,employee,
207,119400,employee,948.0
208,119500,employee,1059.0
209,119600,employee,1506.0
210,119700,employee,633.0
211,119800,employee,1884.0
212,119901,employee,1233.0
213,120000,employee,861.0
214,120101,employee,384.0
215,120201,employee,1776.0
216,120202,employee,2778.0
217,120203,employee,1443.0
218,120301,employee,1461.0
219,120400,employee,1665.0
220,120500,employee,1200.0
221,120600,employee,1488.0
222,120701,employee,1458.0
223,120800,employee,1251.0
224,120900,employee,1443.0
225,121001,employee,1920.0
226,121100,employee,996.0
227,121200,employee,1287.0
228,121300,employee,1413.0
229,121401,employee,1215.0
230,121500,employee,1515.0
231,121600,employee,1929.0
232,121701,employee,1341.0
233,121800,employee,1608.0
234,121901,employee,1752.0
235,122001,employee,1830.0
236,122101,employee,1509.0
237,122200,employee,1113.0
238,122300,employee,1554.0
239,122400,employee,1812.0
240,122501,employee,1680.0
241,122600,employee,1140.0
242,122700,employee,1779.0
243,122801,employee,1158.0
244,122802,employee,1569.0
245,122901,employee,1665.0
246,123000,employee,1596.0
247,123100,employee,1506.0
248,123200,employee,1674.0
249,123300,employee,1968.0
250,123400,employee,1791.0
251,123500,employee,60.0
252,123600,employee,1683.0
253,123701,employee,993.0
254,123702,employee,918.0
255,123800,employee,1416.0
256,123900,employee,1530.0
257,124000,employee,2034.0
258,124100,employee,309.0
259,124200,employee,1320.0
260,124301,employee,1551.0
261,124401,employee,1890.0
262,124500,employee,1611.0
263,124600,employee,1155.0
264,124700,employee,609.0
265,124800,employee,2025.0
266,124900,employee,1533.0
267,125000,employee,1239.0
268,125100,employee,36.0
269,125201,employee,1305.0
270,125202,employee,777.0
271,125300,employee,1185.0
272,125400,employee,1278.0
273,125500,employee,1218.0
274,125600,employee,1629.0
275,125701,employee,1428.0
276,125800,employee,1674.0
277,125900,employee,663.0
278,126000,employee,1380.0
279,126100,employee,1185.0
280,126200,employee,1926.0
281,126300,employee,1515.0
282,126401,employee,1455.0
283,126500,employee,1401.0
284,126601,employee,1419.0
285,126701,employee,828.0
286,126702,employee,1221.0
287,126801,employee,1098.0
288,126901,employee,1674.0
289,127001,employee,1560.0
290,127002,employee,1491.0
291,127100,employee,1236.0
292,127200,employee,405.0
293,127300,employee,1305.0
294,127400,employee,1350.0
295,127500,employee,510.0
296,127601,employee,939.0
297,127701,employee,1005.0
298,127801,employee,1161.0
299,127900,employee,1089.0
300,128000,employee,426.0
301,128101,employee,1119.0
302,128200,employee,1269.0
303,128301,employee,1539.0
304,128401,employee,2013.0
305,128501,employee,1530.0
306,128601,employee,852.0
307,128700,employee,
308,128800,employee,1887.0
309,128901,employee,1125.0
310,128902,employee,1008.0
311,129000,employee,1227.0
312,129101,employee,1671.0
313,129201,employee,1095.0
314,129300,employee,1290.0
315,129400,employee,1149.0
316,129501,employee,1350.0
317,129600,employee,1638.0
318,129700,employee,1020.0
319,129800,employee,915.0
320,129901,employee,972.0
321,129902,employee,1431.0
322,130000,employee,903.0
323,130100,employee,1572.0
324,130200,employee,840.0
325,130300,employee,1290.0
326,130400,employee,960.0
327,130500,employee,1290.0
328,130601,employee,1743.0
329,130700,employee,1722.0
330,130801,employee,1206.0
331,130901,employee,1530.0
332,130902,employee,1335.0
333,131000,employee,1299.0
334,131100,employee,1791.0
335,131200,employee,1584.0
336,131300,employee,651.0
337,131400,employee,966.0
338,131500,employee,1644.0
339,131600,employee,1503.0
340,131700,employee,1818.0
341,131801,employee,1659.0
342,131802,employee,345.0
343,131900,employee,1269.0
344,132001,employee,1332.0
345,132002,employee,1206.0
346,132100,employee,1284.0
347,132200,employee,1812.0
348,132300,employee,1428.0
349,132400,employee,1929.0
350,132501,employee,948.0
351,132600,employee,1533.0
352,132700,employee,1407.0
353,132800,employee,1890.0
354,132900,employee,1434.0
355,133000,employee,1305.0
356,133100,employee,1272.0
357,133200,employee,975.0
358,133301,employee,1125.0
359,133400,employee,1575.0
360,133500,employee,1065.0
361,133600,employee,2034.0
362,133700,employee,1146.0
363,133800,employee,978.0
364,133900,employee,285.0
365,134000,employee,720.0
366,134100,employee,1131.0
367,134200,employee,1653.0
368,134301,employee,597.0
369,134302,employee,783.0
370,134400,employee,1872.0
371,134500,employee,1899.0
372,134600,employee,1140.0
373,134700,employee,1362.0
374,134800,employee,69.0
375,134900,employee,1308.0
376,135000,employee,1992.0
377,135100,employee,1413.0
378,135200,employee,1059.0
379,135300,employee,1722.0
380,135401,employee,1437.0
381,135500,employee,1530.0
382,135600,employee,1482.0
383,135700,employee,777.0
384,135800,employee,1002.0
385,135900,employee,948.0
386,136001,employee,2109.0
387,136002,employee,876.0
388,136100,employee,924.0
389,136200,employee,864.0
390,136300,employee,1848.0
391,136400,employee,2229.0
392,136501,employee,1218.0
393,136502,employee,966.0
394,136601,employee,1518.0
395,136700,employee,1602.0
396,136801,employee,1056.0
397,136900,employee,1107.0
398,137000,employee,1116.0
399,137100,employee,1269.0
400,137201,employee,1128.0
401,137202,employee,1365.0
402,137300,employee,750.0
403,137400,employee,1374.0
404,137500,employee,1011.0
405,137600,employee,1257.0
406,137701,employee,828.0
407,137800,employee,1599.0
408,137901,employee,1026.0
409,138000,employee,1155.0
410,138100,employee,1566.0
411,138200,employee,1509.0
412,138301,employee,882.0
413,138302,employee,1089.0
414,138400,employee,1665.0
415,138501,employee,1404.0
416,138502,employee,486.0
417,138600,employee,1062.0
418,138700,employee,1392.0
419,138800,employee,12.0
420,138901,employee,1374.0
421,139000,employee,1320.0
422,139100,employee,765.0
423,139201,employee,1080.0
424,139300,employee,1383.0
425,139400,employee,1056.0
426,139501,employee,924.0
427,139601,employee,1485.0
428,139700,employee,1776.0
429,139801,employee,1092.0
430,139802,employee,1029.0
431,139900,employee,1764.0
432,140000,employee,1431.0
433,140100,employee,1194.0
434,140200,employee,1533.0
435,140300,employee,1431.0
436,140400,employee,1377.0
437,140500,employee,1266.0
438,140601,employee,876.0
439,140700,employee,933.0
440,140800,employee,1722.0
441,140901,employee,1350.0
442,140902,employee,771.0
443,141000,employee,1701.0
444,141101,employee,1131.0
445,141102,employee,723.0
446,141201,employee,816.0
447,141300,employee,1437.0
448,141400,employee,
449,141500,employee,1221.0
450,141600,employee,1005.0
451,141700,employee,1083.0
452,141801,employee,909.0
453,141802,employee,849.0
454,141900,employee,1224.0
455,142001,employee,1170.0
456,142002,employee,702.0
457,142101,employee,1875.0
458,142201,employee,957.0
459,142202,employee,1134.0
460,142301,employee,1323.0
461,142400,employee,1077.0
462,142501,employee,981.0
463,142600,employee,1188.0
464,142700,employee,1392.0
465,142801,employee,1056.0
466,142802,employee,1188.0
467,142901,employee,1236.0
468,143000,employee,1422.0
469,143100,employee,1800.0
470,143200,employee,1296.0
471,143301,employee,1620.0
472,143400,employee,1269.0
473,143500,employee,1737.0
474,143600,employee,1341.0
475,143700,employee,1224.0
476,143800,employee,1686.0
477,143900,employee,1128.0
478,144001,employee,1302.0
479,144101,employee,1674.0
480,144201,employee,63.0
481,144300,employee,1845.0
482,144400,employee,1608.0
483,144500,employee,1470.0
484,144600,employee,429.0
485,144700,employee,1890.0
486,144800,employee,1302.0
487,144900,employee,984.0
488,145000,employee,1584.0
489,145101,employee,1416.0
490,145102,employee,741.0
491,145200,employee,1161.0
492,145300,employee,1281.0
493,145400,employee,120.0
494,145500,employee,588.0
495,145600,employee,1593.0
496,145700,employee,873.0
497,145800,employee,2139.0
498,145900,employee,339.0
499,146000,employee,1119.0
500,146100,employee,1638.0
501,146201,employee,1593.0
502,146301,employee,900.0
503,146302,employee,930.0
504,146400,employee,1143.0
505,146501,employee,1578.0
506,146600,employee,1662.0
507,146700,employee,147.0
508,146800,employee,1275.0
509,146900,employee,441.0
510,147001,employee,1104.0
511,147002,employee,690.0
512,147100,employee,1695.0
513,147201,employee,1362.0
514,147202,employee,1326.0
515,147300,employee,
516,147400,employee,66.0
517,147500,employee,1866.0
518,147600,employee,777.0
519,147700,employee,
520,147800,employee,1197.0
521,147900,employee,216.0
522,148000,employee,810.0
523,148101,employee,894.0
524,148102,employee,1272.0
525,148200,employee,1173.0
526,148300,employee,780.0
527,148401,employee,936.0
528,148501,employee,1242.0
529,148600,employee,1386.0
530,148700,employee,714.0
531,148800,employee,831.0
532,148901,employee,1290.0
533,149001,employee,1185.0
534,149100,employee,1599.0
535,149200,employee,1479.0
536,149300,employee,1380.0
537,149400,employee,1659.0
538,149500,employee,1293.0
539,149600,employee,
540,149701,employee,1104.0
541,149702,employee,777.0
542,149800,employee,1677.0
543,149901,employee,1089.0
544,150000,employee,1497.0
545,150101,employee,555.0
546,150200,employee,1383.0
547,150301,employee,822.0
548,150302,employee,783.0
549,150400,employee,1794.0
550,150500,employee,1251.0
551,150600,employee,1623.0
552,150700,employee,1383.0
553,150800,employee,1434.0
554,150900,employee,1068.0
555,151000,employee,1428.0
556,151100,employee,474.0
557,151200,employee,1284.0
558,151301,employee,1752.0
559,151400,employee,1446.0
560,151500,employee,1569.0
561,151600,employee,1404.0
562,151700,employee,381.0
563,151800,employee,1488.0
564,151900,employee,1506.0
565,152000,employee,1641.0
566,152101,employee,1437.0
567,152201,employee,1590.0
568,152300,employee,150.0
569,152400,employee,1767.0
570,152500,employee,816.0
571,152600,employee,774.0
572,152700,employee,51.0
573,152800,employee,1593.0
574,152900,employee,1089.0
575,153000,employee,924.0
576,153100,employee,1053.0
577,153200,employee,600.0
578,153301,employee,1146.0
579,153400,employee,1878.0
580,153500,employee,1092.0
581,153600,employee,924.0
582,153700,employee,1230.0
583,153800,employee,1803.0
584,153900,employee,882.0
585,154001,employee,1674.0
586,154101,employee,1245.0
587,154201,employee,1179.0
588,154202,employee,1119.0
589,154300,employee,1329.0
590,154400,employee,930.0
591,154500,employee,906.0
592,154600,employee,
593,154701,employee,735.0
594,154801,employee,1293.0
595,154802,employee,1740.0
596,154901,employee,1590.0
597,154902,employee,1500.0
598,155000,employee,1443.0
599,155100,employee,1380.0
600,155200,employee,1245.0
601,155301,employee,789.0
602,155401,employee,1086.0
603,155500,employee,528.0
604,155601,employee,1470.0
605,155602,employee,1536.0
606,155701,employee,696.0
607,155702,employee,1071.0
608,155801,employee,1050.0
609,155901,employee,1350.0
610,156000,employee,66.0
611,156101,employee,1215.0
612,156201,employee,1626.0
613,156301,employee,1152.0
614,156400,employee,2112.0
615,156500,employee,1881.0
616,156601,employee,1197.0
617,156700,employee,1125.0
618,156800,employee,891.0
619,156901,employee,1863.0
620,157000,employee,1218.0
621,157101,employee,1317.0
622,157200,employee,813.0
623,157301,employee,963.0
624,157400,employee,1116.0
625,157500,employee,1482.0
626,157600,employee,303.0
627,157701,employee,1059.0
628,157702,employee,1008.0
629,157800,employee,1431.0
630,157901,employee,1374.0
631,158001,employee,1092.0
632,158002,employee,1098.0
633,158101,employee,2040.0
634,158102,employee,1869.0
635,158200,employee,1686.0
636,158300,employee,2022.0
637,158401,employee,1074.0
638,158402,employee,894.0
639,158501,employee,798.0
640,158502,employee,1254.0
641,158601,employee,1509.0
642,158602,employee,1128.0
643,158603,employee,534.0
644,158700,employee,1212.0
645,158800,employee,1464.0
646,158900,employee,627.0
647,159000,employee,1455.0
648,159101,employee,1290.0
649,159201,employee,999.0
650,159202,employee,1263.0
651,159301,employee,1821.0
652,159401,employee,675.0
653,159500,employee,1269.0
654,159600,employee,1188.0
655,159700,employee,801.0
656,159801,employee,615.0
657,159900,employee,1368.0
658,160000,employee,1629.0
659,160100,employee,1542.0
660,160201,employee,954.0
661,160202,employee,1251.0
662,160300,employee,1452.0
663,160401,employee,1608.0
664,160501,employee,1005.0
665,160601,employee,1128.0
666,160700,employee,1557.0
667,160800,employee,1263.0
668,160901,employee,1203.0
669,160902,employee,1059.0
670,161000,employee,1101.0
671,161100,employee,1731.0
672,161201,employee,1296.0
673,161300,employee,1365.0
674,161400,employee,1098.0
675,161500,employee,1026.0
676,161600,employee,1035.0
677,161700,employee,9.0
678,161800,employee,1797.0
679,161900,employee,984.0
680,162000,employee,1155.0
681,162101,employee,2148.0
682,162102,employee,1827.0
683,162200,employee,390.0
684,162300,employee,522.0
685,162400,employee,1236.0
686,162500,employee,927.0
687,162601,employee,1200.0
688,162602,employee,1170.0
689,162701,employee,783.0
690,162800,employee,759.0
691,162901,employee,633.0
692,163001,employee,1593.0
693,163100,employee,1566.0
694,163200,employee,1590.0
695,163301,employee,978.0
696,163302,employee,1296.0
697,163400,employee,1401.0
698,163501,employee,933.0
699,163502,employee,1209.0
700,163600,employee,1116.0
701,163700,employee,1776.0
702,163801,employee,600.0
703,163803,employee,540.0
704,163901,employee,1266.0
705,163902,employee,435.0
706,164001,employee,1587.0
707,164100,employee,75.0
708,164201,employee,1002.0
709,164301,employee,399.0
710,164302,employee,348.0
711,164401,employee,1077.0
712,164500,employee,1140.0
713,164601,employee,291.0
714,164602,employee,339.0
715,164603,employee,873.0
716,164700,employee,561.0
717,164800,employee,759.0
718,164900,employee,486.0
719,165001,employee,681.0
720,165101,employee,1245.0
721,165200,employee,645.0
722,165301,employee,873.0
723,165302,employee,1161.0
724,165400,employee,1071.0
725,165501,employee,1848.0
726,165502,employee,1464.0
727,165600,employee,792.0
728,165700,employee,873.0
729,165800,employee,1233.0
730,165901,employee,1128.0
731,166000,employee,135.0
732,166100,employee,678.0
733,166200,employee,531.0
734,166301,employee,801.0
735,166400,employee,918.0
736,166500,employee,402.0
737,166600,employee,9.0
738,166700,employee,543.0
739,166801,employee,
740,166900,employee,519.0
741,167000,employee,555.0
742,167101,employee,1068.0
743,167102,employee,288.0
744,167200,employee,540.0
745,167300,employee,126.0
746,167400,employee,384.0
747,167501,employee,177.0
748,167600,employee,618.0
749,167700,employee,321.0
750,167800,employee,1059.0
751,167900,employee,72.0
752,168001,employee,306.0
753,168101,employee,405.0
754,168200,employee,231.0
755,168300,employee,447.0
756,168400,employee,147.0
757,168501,employee,261.0
758,168502,employee,864.0
759,168600,employee,327.0
760,168701,employee,423.0
761,168800,employee,552.0
762,168901,employee,609.0
763,169000,employee,555.0
764,169100,employee,684.0
765,169200,employee,1569.0
766,169301,employee,744.0
767,169401,employee,600.0
768,169500,employee,516.0
769,169600,employee,789.0
770,169700,employee,1386.0
771,169800,employee,432.0
772,169901,employee,648.0
773,170001,employee,1611.0
774,170101,employee,837.0
775,170201,employee,720.0
776,170300,employee,1005.0
777,170400,employee,309.0
778,170501,employee,1593.0
779,170502,employee,1413.0
780,170600,employee,747.0
781,170700,employee,708.0
782,170802,employee,546.0
783,170803,employee,483.0
784,170901,employee,633.0
785,171000,employee,
786,171101,employee,822.0
787,171201,employee,888.0
788,171300,employee,351.0
789,171400,employee,1128.0
790,171501,employee,1401.0
791,171502,employee,678.0
792,171601,employee,1377.0
793,171700,employee,783.0
794,171801,employee,687.0
795,171803,employee,312.0
796,171901,employee,978.0
797,172001,employee,1233.0
798,172100,employee,1497.0
799,172201,employee,936.0
800,172300,employee,690.0
801,172401,employee,906.0
802,172500,employee,201.0
803,172601,employee,348.0
804,172700,employee,318.0
805,172800,employee,1287.0
806,172900,employee,375.0
807,173000,employee,669.0
808,173100,employee,906.0
809,173201,employee,939.0
810,173202,employee,639.0
811,173300,employee,1107.0
812,173400,employee,834.0
813,173500,employee,660.0
814,173600,employee,450.0
815,173700,employee,510.0
816,173801,employee,693.0
817,173901,employee,735.0
818,173902,employee,1776.0
819,174001,employee,1458.0
820,174100,employee,990.0
821,174200,employee,801.0
822,174300,employee,486.0
823,174400,employee,453.0
824,174500,employee,450.0
825,174601,employee,534.0
826,174701,employee,393.0
827,174801,employee,408.0
828,174901,employee,1353.0
829,175001,employee,1401.0
830,175002,employee,849.0
831,175100,employee,351.0
832,175201,employee,63.0
833,175301,employee,867.0
834,175302,employee,1413.0
835,175401,employee,474.0
836,175501,employee,1347.0
837,175601,employee,909.0
838,175700,employee,1083.0
839,175801,employee,1719.0
840,175901,employee,1326.0
841,175902,employee,1245.0
842,176000,employee,1194.0
843,176101,employee,2061.0
844,176201,employee,945.0
845,176202,employee,978.0
846,176301,employee,42.0
847,176400,employee,1398.0
848,176500,employee,1203.0
849,176600,employee,1143.0
850,176700,employee,954.0
851,176800,employee,1371.0
852,176900,employee,1113.0
853,177000,employee,1449.0
854,177100,employee,1749.0
855,177200,employee,1965.0
856,177300,employee,1050.0
857,177400,employee,1170.0
858,177500,employee,861.0
859,177600,employee,1038.0
860,177700,employee,1485.0
861,177800,employee,1104.0
862,177901,employee,1869.0
863,178000,employee,1782.0
864,178100,employee,1983.0
865,178201,employee,942.0
866,178202,employee,993.0
867,178301,employee,1293.0
868,178400,employee,948.0
869,178500,employee,1626.0
870,178600,employee,519.0
871,178701,employee,1509.0
872,178800,employee,1608.0
873,178901,employee,357.0
874,179001,employee,438.0
875,179100,employee,1248.0
876,179201,employee,948.0
877,179202,employee,381.0
878,179300,employee,1398.0
879,179401,employee,348.0
880,179501,employee,1239.0
881,179502,employee,1008.0
882,179600,employee,1623.0
883,179700,employee,1545.0
884,179801,employee,609.0
885,179901,employee,2031.0
886,180000,employee,1062.0
887,180100,employee,1701.0
888,180200,employee,1785.0
889,180300,employee,1116.0
890,180400,employee,894.0
891,180500,employee,1020.0
892,180601,employee,1494.0
893,180700,employee,1509.0
894,180800,employee,957.0
895,180900,employee,1125.0
896,181000,employee,1194.0
897,181101,employee,1755.0
898,181200,employee,1230.0
899,181301,employee,135.0
900,181400,employee,636.0
901,181500,employee,744.0
902,181600,employee,639.0
903,181700,employee,504.0
904,181800,employee,771.0
905,181900,employee,546.0
906,182000,employee,267.0
907,182101,employee,564.0
908,182201,employee,339.0
909,182300,employee,294.0
910,182400,employee,192.0
911,182500,employee,969.0
912,182600,employee,1275.0
913,182700,employee,1131.0
914,182800,employee,1206.0
915,182900,employee,636.0
916,183000,employee,657.0
917,183101,employee,384.0
918,183200,employee,348.0
919,183300,employee,549.0
920,183401,employee,705.0
921,183500,employee,612.0
922,183600,employee,777.0
923,183701,employee,879.0
924,183800,employee,1128.0
925,183900,employee,903.0
926,184000,employee,819.0
927,184100,employee,153.0
928,184201,employee,1335.0
929,184300,employee,633.0
930,184400,employee,837.0
931,184501,employee,294.0
932,184601,employee,657.0
933,184700,employee,171.0
934,184800,employee,1314.0
935,184900,employee,348.0
936,185000,employee,333.0
937,185100,employee,
938,185200,employee,264.0
939,185300,employee,585.0
940,185400,employee,462.0
941,185500,employee,1320.0
942,185600,employee,636.0
943,185700,employee,549.0
944,185800,employee,963.0
945,185900,employee,939.0
946,186000,employee,1590.0
947,186100,employee,579.0
948,186200,employee,741.0
949,186300,employee,339.0
950,186400,employee,861.0
951,186500,employee,801.0
952,186600,employee,888.0
953,186700,employee,384.0
954,186800,employee,1293.0
955,186900,employee,
956,187000,employee,348.0
957,187100,employee,483.0
958,187200,employee,438.0
959,187300,employee,1020.0
960,187400,employee,828.0
961,187500,employee,489.0
962,187600,employee,21.0
963,187701,employee,651.0
964,187702,employee,243.0
965,187800,employee,816.0
966,187900,employee,639.0
967,188001,employee,417.0
968,188002,employee,489.0
969,188100,employee,
970,188200,employee,552.0
971,188300,employee,666.0
972,188400,employee,903.0
973,188501,employee,684.0
974,188502,employee,429.0
975,188600,employee,201.0
976,188701,employee,786.0
977,188702,employee,39.0
978,188800,employee,1125.0
979,188900,employee,1329.0
980,189000,employee,927.0
981,189101,employee,720.0
982,189102,employee,381.0
983,189200,employee,900.0
984,189300,employee,1071.0
985,189400,employee,519.0
986,189500,employee,45.0
987,189600,employee,318.0
988,189700,employee,1425.0
989,189800,employee,75.0
990,189900,employee,45.0
991,190000,employee,
992,190100,employee,102.0
993,190200,employee,783.0
994,190300,employee,603.0
995,190400,employee,306.0
996,190501,employee,1149.0
997,190601,employee,774.0
998,190602,employee,960.0
999,190700,employee,
1000,190800,employee,111.0
1001,190901,employee,432.0
1002,190902,employee,717.0
1003,191001,employee,1365.0
1004,191101,employee,471.0
1005,191201,employee,1083.0
1006,191300,employee,858.0
1007,191400,employee,852.0
1008,191501,employee,252.0
1009,191502,employee,99.0
1010,191601,employee,711.0
1011,191700,employee,1023.0
1012,191801,employee,783.0
1013,191901,employee,1650.0
1014,192000,employee,1080.0
1015,192101,employee,1158.0
1016,192102,employee,1206.0
1017,192200,employee,
1018,192300,employee,549.0
1019,192400,employee,348.0
1020,192500,employee,1272.0
1021,192600,employee,1179.0
1022,192700,employee,27.0
1023,192800,employee,1461.0
1024,192900,employee,948.0
1025,193000,employee,981.0
1026,193100,employee,1794.0
1027,193201,employee,903.0
1028,193202,employee,1560.0
1029,193301,employee,1047.0
1030,193400,employee,1446.0
1031,193500,employee,1650.0
1032,193600,employee,1332.0
1033,193700,employee,1173.0
1034,193800,employee,1005.0
1035,193900,employee,105.0
1036,194000,employee,1170.0
1037,194100,employee,903.0
1038,194200,employee,408.0
1039,194300,employee,1185.0
1040,194400,employee,912.0
1041,194500,employee,120.0
1042,194601,employee,1812.0
1043,194700,employee,333.0
1044,194801,employee,1878.0
1045,194802,employee,546.0
1046,194900,employee,1329.0
1047,195000,employee,363.0
1048,195101,employee,1077.0
1049,195102,employee,1926.0
1050,195200,employee,1647.0
1051,195300,employee,1173.0
1052,195401,employee,1533.0
1053,195500,employee,1317.0
1054,195601,employee,1206.0
1055,195700,employee,546.0
1056,195800,employee,1269.0
1057,195900,employee,1311.0
1058,196000,employee,1377.0
1059,196100,employee,237.0
1060,196201,employee,885.0
1061,196202,employee,1002.0
1062,196301,employee,693.0
1063,196400,employee,1779.0
1064,196500,employee,348.0
1065,196600,employee,1344.0
1066,196700,employee,1167.0
1067,196800,employee,1320.0
1068,196900,employee,1842.0
1069,197000,employee,1485.0
1070,197100,employee,1401.0
1071,197200,employee,1251.0
1072,197300,employee,1458.0
1073,197400,employee,1131.0
1074,197500,employee,1362.0
1075,197601,employee,1329.0
1076,197602,employee,699.0
1077,197603,employee,1809.0
1078,197700,employee,708.0
1079,197800,employee,60.0
1080,197900,employee,624.0
1081,198000,employee,474.0
