,index,business_code,sex,age,ethnicity,value
0,137488,A,1,15-19,1,166
1,137498,A,1,60-64,1,1215
2,137508,A,1,65-999,1,1247
3,137513,A,1,65-999,2,945
4,137523,A,1,20-24,1,1036
5,137533,A,1,25-29,1,1343
6,137538,A,1,25-29,2,1026
7,137548,A,1,30-34,1,1534
8,137553,A,1,30-34,2,1485
9,137558,A,1,30-34,4,1219
10,137568,A,1,35-39,1,1726
11,137573,A,1,35-39,2,1686
12,137578,A,1,35-39,4,1186
13,137588,A,1,40-44,1,2000
14,137593,A,1,40-44,4,1272
15,137603,A,1,45-49,1,1764
16,137608,A,1,45-49,2,1796
17,137618,A,1,50-54,1,1512
18,137623,A,1,50-54,2,1066
19,137633,A,1,55-59,1,1347
20,137673,A,2,15-19,1,921
21,137683,A,2,60-64,1,960
22,137698,A,2,20-24,1,1144
23,137703,A,2,20-24,2,1300
24,137713,A,2,25-29,1,1247
25,137723,A,2,30-34,1,1110
26,137733,A,2,35-39,1,1151
27,137738,A,2,35-39,2,1297
28,137748,A,2,40-44,1,895
29,137758,A,2,45-49,1,1136
30,137768,A,2,50-54,1,1120
31,137778,A,2,55-59,1,1051
32,138028,K,1,60-64,1,2236
33,138038,K,1,65-999,1,2230
34,138048,K,1,20-24,1,1343
35,138053,K,1,20-24,2,898
36,138063,K,1,25-29,1,1635
37,138068,K,1,25-29,4,1343
38,138078,K,1,30-34,1,2340
39,138083,K,1,30-34,2,2800
40,138088,K,1,30-34,4,1573
41,138098,K,1,35-39,1,3452
42,138103,K,1,35-39,4,2110
43,138113,K,1,40-44,1,3548
44,138118,K,1,40-44,4,2263
45,138128,K,1,45-49,1,3030
46,138138,K,1,50-54,1,2839
47,138148,K,1,55-59,1,5102
48,138183,K,2,60-64,1,1668
49,138198,K,2,20-24,1,1139
50,138208,K,2,25-29,1,1266
51,138213,K,2,25-29,4,1343
52,138223,K,2,30-34,1,1910
53,138228,K,2,30-34,4,1534
54,138238,K,2,35-39,1,1793
55,138243,K,2,35-39,4,1668
56,138253,K,2,40-44,1,1918
57,138258,K,2,40-44,4,1477
58,138268,K,2,45-49,1,1822
59,138278,K,2,50-54,1,2973
60,138288,K,2,55-59,1,1975
61,138523,L,1,60-64,1,2566
62,138533,L,1,65-999,1,1043
63,138543,L,1,20-24,1,1055
64,138553,L,1,25-29,1,1505
65,138563,L,1,30-34,1,1688
66,138573,L,1,35-39,1,1611
67,138578,L,1,35-39,4,1080
68,138588,L,1,40-44,1,1849
69,138598,L,1,45-49,1,2973
70,138608,L,1,50-54,1,1630
71,138618,L,1,55-59,1,4219
72,138653,L,2,60-64,1,940
73,138668,L,2,20-24,1,1120
74,138683,L,2,30-34,1,1151
75,138693,L,2,35-39,1,1343
76,138703,L,2,40-44,1,1000
77,138718,L,2,50-54,1,1574
78,138728,L,2,55-59,1,1155
79,138913,"M, N",1,15-19,1,920
80,138923,"M, N",1,60-64,1,1735
81,138928,"M, N",1,60-64,2,1344
82,138938,"M, N",1,65-999,1,1283
83,138948,"M, N",1,20-24,1,1152
84,138953,"M, N",1,20-24,2,1160
85,138958,"M, N",1,20-24,4,960
86,138968,"M, N",1,25-29,1,1546
87,138973,"M, N",1,25-29,2,1630
88,138978,"M, N",1,25-29,4,1600
89,138988,"M, N",1,30-34,1,1841
90,138993,"M, N",1,30-34,2,1765
91,138998,"M, N",1,30-34,4,1750
92,139008,"M, N",1,35-39,1,2321
93,139013,"M, N",1,35-39,2,2397
94,139018,"M, N",1,35-39,4,2110
95,139023,"M, N",1,35-39,5,2493
96,139033,"M, N",1,40-44,1,2471
97,139038,"M, N",1,40-44,2,1918
98,139043,"M, N",1,40-44,4,1956
99,139053,"M, N",1,45-49,1,2685
100,139058,"M, N",1,45-49,2,1611
101,139063,"M, N",1,45-49,4,1611
102,139073,"M, N",1,50-54,1,2110
103,139078,"M, N",1,50-54,2,1132
104,139083,"M, N",1,50-54,4,1890
105,139093,"M, N",1,55-59,1,2302
106,139098,"M, N",1,55-59,2,1918
107,139103,"M, N",1,55-59,4,1485
108,139148,"M, N",2,15-19,1,278
109,139158,"M, N",2,60-64,1,1257
110,139163,"M, N",2,60-64,2,576
111,139173,"M, N",2,65-999,1,1248
112,139178,"M, N",2,65-999,2,1190
113,139188,"M, N",2,20-24,1,1170
114,139193,"M, N",2,20-24,2,1064
115,139198,"M, N",2,20-24,4,1156
116,139208,"M, N",2,25-29,1,1534
117,139213,"M, N",2,25-29,2,1180
118,139218,"M, N",2,25-29,3,1227
119,139223,"M, N",2,25-29,4,1360
120,139233,"M, N",2,30-34,1,1457
121,139238,"M, N",2,30-34,2,1208
122,139243,"M, N",2,30-34,4,1400
123,139253,"M, N",2,35-39,1,1477
124,139258,"M, N",2,35-39,2,1151
125,139263,"M, N",2,35-39,3,1221
126,139268,"M, N",2,35-39,4,1389
127,139278,"M, N",2,40-44,1,1726
128,139283,"M, N",2,40-44,4,1534
129,139293,"M, N",2,45-49,1,1630
130,139298,"M, N",2,45-49,2,1372
131,139303,"M, N",2,45-49,4,1573
132,139313,"M, N",2,50-54,1,1496
133,139318,"M, N",2,50-54,2,1496
134,139328,"M, N",2,55-59,1,1488
135,139333,"M, N",2,55-59,2,1343
136,139338,"M, N",2,55-59,4,1247
137,139663,O,1,60-64,1,1822
138,139668,O,1,60-64,2,1475
139,139678,O,1,65-999,1,2048
140,139688,O,1,20-24,1,1256
141,139693,O,1,20-24,2,1413
142,139703,O,1,25-29,1,1519
143,139708,O,1,25-29,2,1256
144,139713,O,1,25-29,4,1477
145,139723,O,1,30-34,1,1822
146,139728,O,1,30-34,2,1667
147,139733,O,1,30-34,3,1726
148,139738,O,1,30-34,4,1726
149,139748,O,1,35-39,1,1732
150,139753,O,1,35-39,2,1937
151,139758,O,1,35-39,3,1511
152,139763,O,1,35-39,4,1534
153,139773,O,1,40-44,1,2052
154,139778,O,1,40-44,4,2277
155,139788,O,1,45-49,1,2110
156,139793,O,1,45-49,4,1630
157,139803,O,1,50-54,1,1987
158,139808,O,1,50-54,2,1283
159,139818,O,1,55-59,1,2048
160,139823,O,1,55-59,2,1918
161,139873,O,2,60-64,1,1343
162,139878,O,2,60-64,2,1573
163,139888,O,2,65-999,1,1450
164,139898,O,2,20-24,1,1247
165,139903,O,2,20-24,2,1080
166,139908,O,2,20-24,3,1343
167,139913,O,2,20-24,4,1247
168,139923,O,2,25-29,1,1534
169,139928,O,2,25-29,2,1367
170,139933,O,2,25-29,4,1419
171,139943,O,2,30-34,1,1611
172,139948,O,2,30-34,2,1381
173,139953,O,2,30-34,4,1515
174,139963,O,2,35-39,1,1611
175,139968,O,2,35-39,2,1344
176,139973,O,2,35-39,3,1381
177,139978,O,2,35-39,4,1611
178,139988,O,2,40-44,1,1630
179,139993,O,2,40-44,2,1924
180,139998,O,2,40-44,4,1438
181,140008,O,2,45-49,1,1611
182,140013,O,2,45-49,2,1458
183,140018,O,2,45-49,3,1320
184,140023,O,2,45-49,4,1600
185,140033,O,2,50-54,1,1669
186,140038,O,2,50-54,2,1732
187,140043,O,2,50-54,3,1368
188,140048,O,2,50-54,4,1532
189,140058,O,2,55-59,1,1899
190,140063,O,2,55-59,2,1726
191,140388,P,1,60-64,1,1860
192,140398,P,1,65-999,1,770
193,140403,P,1,65-999,2,1726
194,140413,P,1,20-24,1,960
195,140423,P,1,25-29,1,1476
196,140428,P,1,25-29,4,1093
197,140438,P,1,30-34,1,1411
198,140448,P,1,35-39,1,1766
199,140458,P,1,40-44,1,2053
200,140463,P,1,40-44,2,2091
201,140473,P,1,45-49,1,1880
202,140478,P,1,45-49,2,1930
203,140483,P,1,45-49,4,1975
204,140493,P,1,50-54,1,1904
205,140503,P,1,55-59,1,1918
206,140543,P,2,15-19,1,208
207,140553,P,2,60-64,1,1295
208,140558,P,2,60-64,2,1343
209,140563,P,2,60-64,4,1283
210,140573,P,2,65-999,1,1357
211,140583,P,2,20-24,1,926
