,area,value
0,100100,27400.0
1,100200,29900.0
2,100301,23700.0
3,100400,28500.0
4,100500,29800.0
5,100600,32900.0
6,100700,28800.0
7,100800,28400.0
8,100900,33100.0
9,101000,27400.0
10,101101,28800.0
11,101200,26600.0
12,101300,25900.0
13,101400,25400.0
14,101500,26700.0
15,101600,23600.0
16,101700,24600.0
17,101801,28300.0
18,101900,27800.0
19,102000,26300.0
20,102100,24900.0
21,102201,37800.0
22,102300,37100.0
23,102401,35900.0
24,102501,38200.0
25,102600,38100.0
26,102700,25000.0
27,102801,36200.0
28,102900,23800.0
29,103000,29700.0
30,103101,36700.0
31,103200,37200.0
32,103301,38400.0
33,103401,24500.0
34,103501,28100.0
35,103600,33700.0
36,103700,34000.0
37,103800,32500.0
38,103900,35100.0
39,104000,27500.0
40,104101,28700.0
41,104200,29400.0
42,104301,34500.0
43,104400,26500.0
44,104501,28800.0
45,104600,33000.0
46,104700,32100.0
47,104800,32200.0
48,104900,31000.0
49,105001,
50,105101,45600.0
51,105200,39100.0
52,105300,41000.0
53,105400,42700.0
54,105500,37200.0
55,105601,37300.0
56,105700,39900.0
57,105800,39500.0
58,105901,34800.0
59,106000,39200.0
60,106100,36500.0
61,106201,32400.0
62,106301,52000.0
63,106401,26900.0
64,106501,34700.0
65,106600,34800.0
66,106700,42100.0
67,106800,33500.0
68,106901,37900.0
69,106902,36600.0
70,107000,35800.0
71,107100,30400.0
72,107200,42800.0
73,107300,33900.0
74,107401,33300.0
75,107501,38600.0
76,107600,39500.0
77,107700,38900.0
78,107800,42600.0
79,107901,33100.0
80,108000,37400.0
81,108100,35100.0
82,108200,37200.0
83,108300,34000.0
84,108400,51600.0
85,108500,40200.0
86,108601,37000.0
87,108701,37800.0
88,108800,33400.0
89,108900,36400.0
90,109003,28600.0
91,109004,38400.0
92,109101,31300.0
93,109200,34100.0
94,109301,29100.0
95,109400,30300.0
96,109500,30200.0
97,109600,34900.0
98,109700,32700.0
99,109800,35200.0
100,109900,34400.0
101,110000,
102,110100,32600.0
103,110201,37600.0
104,110300,
105,110400,38000.0
106,110501,34700.0
107,110600,22300.0
108,110700,40200.0
109,110800,40700.0
110,110900,42700.0
111,111000,
112,111100,35000.0
113,111200,44900.0
114,111300,40700.0
115,111400,43600.0
116,111500,42400.0
117,111601,54200.0
118,111602,48700.0
119,111700,34200.0
120,111801,28500.0
121,111901,34800.0
122,112001,36700.0
123,112101,44100.0
124,112102,81400.0
125,112200,37000.0
126,112301,47600.0
127,112401,42800.0
128,112500,52100.0
129,112600,50000.0
130,112701,37600.0
131,112702,61400.0
132,112800,48900.0
133,112901,30700.0
134,112902,59600.0
135,113000,34600.0
136,113101,55000.0
137,113201,46200.0
138,113300,55000.0
139,113401,71500.0
140,113402,42500.0
141,113500,51500.0
142,113600,49600.0
143,113700,
144,113800,43200.0
145,113900,38100.0
146,114000,43500.0
147,114101,44200.0
148,114102,59200.0
149,114201,57100.0
150,114300,26600.0
151,114400,44300.0
152,114500,52700.0
153,114600,50300.0
154,114701,44700.0
155,114801,50900.0
156,114901,49900.0
157,114902,50700.0
158,115001,60600.0
159,115002,62000.0
160,115100,45100.0
161,115200,45100.0
162,115300,45400.0
163,115400,43200.0
164,115501,52900.0
165,115601,49300.0
166,115700,49800.0
167,115800,42400.0
168,115901,62200.0
169,116000,41500.0
170,116101,44900.0
171,116200,45200.0
172,116300,47900.0
173,116401,46100.0
174,116500,49800.0
175,116601,36000.0
176,116701,51600.0
177,116801,50400.0
178,116900,37800.0
179,117001,61300.0
180,117002,58200.0
181,117003,54600.0
182,117100,46800.0
183,117201,47700.0
184,117202,49800.0
185,117300,37500.0
186,117400,34600.0
187,117500,50800.0
188,117600,44700.0
189,117700,48500.0
190,117800,40800.0
191,117900,51900.0
192,118001,51100.0
193,118100,41100.0
194,118200,45600.0
195,118300,44900.0
196,118400,49400.0
197,118501,42100.0
198,118502,36500.0
199,118600,31600.0
200,118700,45100.0
201,118800,64300.0
202,118900,53800.0
203,119000,50700.0
204,119100,52300.0
205,119201,52800.0
206,119301,
207,119400,54900.0
208,119500,46200.0
209,119600,50300.0
210,119700,34200.0
211,119800,42400.0
212,119901,43000.0
213,120000,52000.0
214,120101,50400.0
215,120201,72400.0
216,120202,65000.0
217,120203,58300.0
218,120301,44300.0
219,120400,40200.0
220,120500,44800.0
221,120600,42400.0
222,120701,48700.0
223,120800,49000.0
224,120900,41500.0
225,121001,50600.0
226,121100,49300.0
227,121200,43500.0
228,121300,48800.0
229,121401,50800.0
230,121500,47800.0
231,121600,44600.0
232,121701,44900.0
233,121800,52400.0
234,121901,45400.0
235,122001,54400.0
236,122101,52100.0
237,122200,54200.0
238,122300,39200.0
239,122400,44100.0
240,122501,41200.0
241,122600,42800.0
242,122700,46800.0
243,122801,44700.0
244,122802,53400.0
245,122901,42900.0
246,123000,36200.0
247,123100,45200.0
248,123200,53000.0
249,123300,50600.0
250,123400,40700.0
251,123500,36600.0
252,123600,49500.0
253,123701,55300.0
254,123702,55900.0
255,123800,34200.0
256,123900,58500.0
257,124000,44900.0
258,124100,45700.0
259,124200,43200.0
260,124301,36900.0
261,124401,54800.0
262,124500,47700.0
263,124600,46800.0
264,124700,49400.0
265,124800,51800.0
266,124900,39000.0
267,125000,38800.0
268,125100,26300.0
269,125201,46400.0
270,125202,58800.0
271,125300,43600.0
272,125400,51000.0
273,125500,46300.0
274,125600,44300.0
275,125701,36300.0
276,125800,53200.0
277,125900,53800.0
278,126000,44500.0
279,126100,47100.0
280,126200,51700.0
281,126300,51200.0
282,126401,43700.0
283,126500,51100.0
284,126601,44100.0
285,126701,32000.0
286,126702,38600.0
287,126801,56900.0
288,126901,44700.0
289,127001,44800.0
290,127002,43500.0
291,127100,49100.0
292,127200,28500.0
293,127300,53600.0
294,127400,59400.0
295,127500,29000.0
296,127601,47500.0
297,127701,43300.0
298,127801,36500.0
299,127900,35500.0
300,128000,42800.0
301,128101,54700.0
302,128200,60600.0
303,128301,40800.0
304,128401,40300.0
305,128501,43900.0
306,128601,54700.0
307,128700,16100.0
308,128800,54500.0
309,128901,43200.0
310,128902,39500.0
311,129000,42000.0
312,129101,45300.0
313,129201,41100.0
314,129300,50100.0
315,129400,53500.0
316,129501,42300.0
317,129600,41000.0
318,129700,70200.0
319,129800,63800.0
320,129901,62800.0
321,129902,56300.0
322,130000,50200.0
323,130100,44100.0
324,130200,63800.0
325,130300,61300.0
326,130400,64400.0
327,130500,38300.0
328,130601,40000.0
329,130700,49800.0
330,130801,41900.0
331,130901,47100.0
332,130902,50800.0
333,131000,39800.0
334,131100,44900.0
335,131200,69300.0
336,131300,79100.0
337,131400,58700.0
338,131500,44200.0
339,131600,64700.0
340,131700,38900.0
341,131801,62900.0
342,131802,80500.0
343,131900,44300.0
344,132001,46200.0
345,132002,51300.0
346,132100,54800.0
347,132200,47800.0
348,132300,40100.0
349,132400,54000.0
350,132501,55100.0
351,132600,41400.0
352,132700,46700.0
353,132800,66100.0
354,132900,44000.0
355,133000,55600.0
356,133100,39100.0
357,133200,47100.0
358,133301,47100.0
359,133400,33800.0
360,133500,66400.0
361,133600,56100.0
362,133700,55500.0
363,133800,37300.0
364,133900,43100.0
365,134000,55000.0
366,134100,38500.0
367,134200,52200.0
368,134301,61900.0
369,134302,48200.0
370,134400,60400.0
371,134500,48300.0
372,134600,57600.0
373,134700,53400.0
