Measure,Year,Area,ANZSIC06,Value,Flags
"Geographic Units","2022","Northland Region","F Wholesale Trade",477,
"Geographic Units","2022","Auckland Region","F Wholesale Trade",9699,
"Geographic Units","2022","Waikato Region","F Wholesale Trade",1527,
"Geographic Units","2022","Bay of Plenty Region","F Wholesale Trade",1104,
"Geographic Units","2022","Gisborne Region","F Wholesale Trade",120,
"Geographic Units","2022","Hawke's Bay Region","F Wholesale Trade",561,
"Geographic Units","2022","Taranaki Region","F Wholesale Trade",351,
"Geographic Units","2022","Manawatu-Wanganui Region","F Wholesale Trade",765,
"Geographic Units","2022","Wellington Region","F Wholesale Trade",1398,
"Geographic Units","2022","Tasman Region","F Wholesale Trade",168,
"Geographic Units","2022","Nelson Region","F Wholesale Trade",222,
"Geographic Units","2022","Marlborough Region","F Wholesale Trade",162,
"Geographic Units","2022","West Coast Region","F Wholesale Trade",102,
"Geographic Units","2022","Canterbury Region","F Wholesale Trade",2784,
"Geographic Units","2022","Otago Region","F Wholesale Trade",753,
"Geographic Units","2022","Southland Region","F Wholesale Trade",318,
"Geographic Units","2022","Area Outside Region","F Wholesale Trade",0,
"Geographic Units","2022","Northland Region","A Agriculture, Forestry and Fishing",4995,
"Geographic Units","2022","Auckland Region","A Agriculture, Forestry and Fishing",4167,
"Geographic Units","2022","Waikato Region","A Agriculture, Forestry and Fishing",11847,
"Geographic Units","2022","Bay of Plenty Region","A Agriculture, Forestry and Fishing",6207,
"Geographic Units","2022","Gisborne Region","A Agriculture, Forestry and Fishing",1371,
"Geographic Units","2022","Hawke's Bay Region","A Agriculture, Forestry and Fishing",3222,
"Geographic Units","2022","Taranaki Region","A Agriculture, Forestry and Fishing",3939,
"Geographic Units","2022","Manawatu-Wanganui Region","A Agriculture, Forestry and Fishing",5706,
"Geographic Units","2022","Wellington Region","A Agriculture, Forestry and Fishing",2157,
"Geographic Units","2022","Tasman Region","A Agriculture, Forestry and Fishing",1569,
"Geographic Units","2022","Nelson Region","A Agriculture, Forestry and Fishing",240,
"Geographic Units","2022","Marlborough Region","A Agriculture, Forestry and Fishing",1917,
"Geographic Units","2022","West Coast Region","A Agriculture, Forestry and Fishing",912,
"Geographic Units","2022","Canterbury Region","A Agriculture, Forestry and Fishing",9519,
"Geographic Units","2022","Otago Region","A Agriculture, Forestry and Fishing",4293,
"Geographic Units","2022","Southland Region","A Agriculture, Forestry and Fishing",4545,
"Geographic Units","2022","Area Outside Region","A Agriculture, Forestry and Fishing",96,
"Geographic Units","2022","Northland Region","B Mining",33,
"Geographic Units","2022","Auckland Region","B Mining",96,
"Geographic Units","2022","Waikato Region","B Mining",102,
"Geographic Units","2022","Bay of Plenty Region","B Mining",42,
"Geographic Units","2022","Gisborne Region","B Mining",6,
"Geographic Units","2022","Hawke's Bay Region","B Mining",12,
"Geographic Units","2022","Taranaki Region","B Mining",186,
"Geographic Units","2022","Manawatu-Wanganui Region","B Mining",30,
"Geographic Units","2022","Wellington Region","B Mining",57,
"Geographic Units","2022","Tasman Region","B Mining",15,
"Geographic Units","2022","Nelson Region","B Mining",9,
"Geographic Units","2022","Marlborough Region","B Mining",9,
"Geographic Units","2022","West Coast Region","B Mining",81,
"Geographic Units","2022","Canterbury Region","B Mining",84,
"Geographic Units","2022","Otago Region","B Mining",66,
"Geographic Units","2022","Southland Region","B Mining",27,
"Geographic Units","2022","Northland Region","C Manufacturing",912,
"Geographic Units","2022","Auckland Region","C Manufacturing",8220,
"Geographic Units","2022","Waikato Region","C Manufacturing",2442,
"Geographic Units","2022","Bay of Plenty Region","C Manufacturing",1680,
"Geographic Units","2022","Gisborne Region","C Manufacturing",162,
"Geographic Units","2022","Hawke's Bay Region","C Manufacturing",963,
"Geographic Units","2022","Taranaki Region","C Manufacturing",645,
"Geographic Units","2022","Manawatu-Wanganui Region","C Manufacturing",1107,
"Geographic Units","2022","Wellington Region","C Manufacturing",1833,
"Geographic Units","2022","Tasman Region","C Manufacturing",360,
"Geographic Units","2022","Nelson Region","C Manufacturing",345,
"Geographic Units","2022","Marlborough Region","C Manufacturing",435,
"Geographic Units","2022","West Coast Region","C Manufacturing",177,
"Geographic Units","2022","Canterbury Region","C Manufacturing",3213,
"Geographic Units","2022","Otago Region","C Manufacturing",1065,
"Geographic Units","2022","Southland Region","C Manufacturing",483,
"Geographic Units","2022","Area Outside Region","C Manufacturing",6,
"Geographic Units","2022","Northland Region","D Electricity, Gas, Water and Waste Services",57,
"Geographic Units","2022","Auckland Region","D Electricity, Gas, Water and Waste Services",459,
"Geographic Units","2022","Waikato Region","D Electricity, Gas, Water and Waste Services",192,
"Geographic Units","2022","Bay of Plenty Region","D Electricity, Gas, Water and Waste Services",108,
"Geographic Units","2022","Gisborne Region","D Electricity, Gas, Water and Waste Services",24,
"Geographic Units","2022","Hawke's Bay Region","D Electricity, Gas, Water and Waste Services",75,
"Geographic Units","2022","Taranaki Region","D Electricity, Gas, Water and Waste Services",48,
"Geographic Units","2022","Manawatu-Wanganui Region","D Electricity, Gas, Water and Waste Services",87,
"Geographic Units","2022","Wellington Region","D Electricity, Gas, Water and Waste Services",174,
"Geographic Units","2022","Tasman Region","D Electricity, Gas, Water and Waste Services",27,
"Geographic Units","2022","Nelson Region","D Electricity, Gas, Water and Waste Services",21,
"Geographic Units","2022","Marlborough Region","D Electricity, Gas, Water and Waste Services",36,
"Geographic Units","2022","West Coast Region","D Electricity, Gas, Water and Waste Services",15,
"Geographic Units","2022","Canterbury Region","D Electricity, Gas, Water and Waste Services",216,
"Geographic Units","2022","Otago Region","D Electricity, Gas, Water and Waste Services",111,
"Geographic Units","2022","Southland Region","D Electricity, Gas, Water and Waste Services",39,
"Geographic Units","2022","Area Outside Region","D Electricity, Gas, Water and Waste Services",3,
"Geographic Units","2022","Northland Region","E Construction",3333,
"Geographic Units","2022","Auckland Region","E Construction",29010,
"Geographic Units","2022","Waikato Region","E Construction",7566,
"Geographic Units","2022","Bay of Plenty Region","E Construction",5181,
"Geographic Units","2022","Gisborne Region","E Construction",573,
"Geographic Units","2022","Hawke's Bay Region","E Construction",2142,
"Geographic Units","2022","Taranaki Region","E Construction",1665,
"Geographic Units","2022","Manawatu-Wanganui Region","E Construction",2976,
"Geographic Units","2022","Wellington Region","E Construction",7239,
"Geographic Units","2022","Tasman Region","E Construction",981,
"Geographic Units","2022","Nelson Region","E Construction",816,
"Geographic Units","2022","Marlborough Region","E Construction",726,
"Geographic Units","2022","West Coast Region","E Construction",444,
"Geographic Units","2022","Canterbury Region","E Construction",10209,
"Geographic Units","2022","Otago Region","E Construction",4167,
"Geographic Units","2022","Southland Region","E Construction",1134,
"Geographic Units","2022","Area Outside Region","E Construction",3,
"Geographic Units","2022","Northland Region","G Retail Trade",1140,
"Geographic Units","2022","Auckland Region","G Retail Trade",14457,
"Geographic Units","2022","Waikato Region","G Retail Trade",3354,
"Geographic Units","2022","Bay of Plenty Region","G Retail Trade",2379,
"Geographic Units","2022","Gisborne Region","G Retail Trade",285,
"Geographic Units","2022","Hawke's Bay Region","G Retail Trade",1158,
"Geographic Units","2022","Taranaki Region","G Retail Trade",807,
"Geographic Units","2022","Manawatu-Wanganui Region","G Retail Trade",1572,
"Geographic Units","2022","Wellington Region","G Retail Trade",3360,
"Geographic Units","2022","Tasman Region","G Retail Trade",387,
"Geographic Units","2022","Nelson Region","G Retail Trade",444,
"Geographic Units","2022","Marlborough Region","G Retail Trade",312,
"Geographic Units","2022","West Coast Region","G Retail Trade",255,
"Geographic Units","2022","Canterbury Region","G Retail Trade",4590,
"Geographic Units","2022","Otago Region","G Retail Trade",1755,
"Geographic Units","2022","Southland Region","G Retail Trade",645,
"Geographic Units","2022","Area Outside Region","G Retail Trade",0,
"Geographic Units","2022","Northland Region","H Accommodation and Food Services",945,
"Geographic Units","2022","Auckland Region","H Accommodation and Food Services",8622,
"Geographic Units","2022","Waikato Region","H Accommodation and Food Services",2352,
"Geographic Units","2022","Bay of Plenty Region","H Accommodation and Food Services",1620,
"Geographic Units","2022","Gisborne Region","H Accommodation and Food Services",198,
"Geographic Units","2022","Hawke's Bay Region","H Accommodation and Food Services",795,
"Geographic Units","2022","Taranaki Region","H Accommodation and Food Services",522,
"Geographic Units","2022","Manawatu-Wanganui Region","H Accommodation and Food Services",1110,
"Geographic Units","2022","Wellington Region","H Accommodation and Food Services",2472,
"Geographic Units","2022","Tasman Region","H Accommodation and Food Services",363,
"Geographic Units","2022","Nelson Region","H Accommodation and Food Services",339,
"Geographic Units","2022","Marlborough Region","H Accommodation and Food Services",336,
"Geographic Units","2022","West Coast Region","H Accommodation and Food Services",306,
"Geographic Units","2022","Canterbury Region","H Accommodation and Food Services",3342,
"Geographic Units","2022","Otago Region","H Accommodation and Food Services",1899,
"Geographic Units","2022","Southland Region","H Accommodation and Food Services",483,
"Geographic Units","2022","Area Outside Region","H Accommodation and Food Services",12,
"Geographic Units","2022","Northland Region","I Transport, Postal and Warehousing",645,
"Geographic Units","2022","Auckland Region","I Transport, Postal and Warehousing",6585,
"Geographic Units","2022","Waikato Region","I Transport, Postal and Warehousing",1605,
"Geographic Units","2022","Bay of Plenty Region","I Transport, Postal and Warehousing",1128,
"Geographic Units","2022","Gisborne Region","I Transport, Postal and Warehousing",174,
"Geographic Units","2022","Hawke's Bay Region","I Transport, Postal and Warehousing",570,
"Geographic Units","2022","Taranaki Region","I Transport, Postal and Warehousing",363,
"Geographic Units","2022","Manawatu-Wanganui Region","I Transport, Postal and Warehousing",780,
"Geographic Units","2022","Wellington Region","I Transport, Postal and Warehousing",1665,
"Geographic Units","2022","Tasman Region","I Transport, Postal and Warehousing",165,
"Geographic Units","2022","Nelson Region","I Transport, Postal and Warehousing",207,
"Geographic Units","2022","Marlborough Region","I Transport, Postal and Warehousing",225,
"Geographic Units","2022","West Coast Region","I Transport, Postal and Warehousing",120,
"Geographic Units","2022","Canterbury Region","I Transport, Postal and Warehousing",2112,
"Geographic Units","2022","Otago Region","I Transport, Postal and Warehousing",819,
"Geographic Units","2022","Southland Region","I Transport, Postal and Warehousing",354,
"Geographic Units","2022","Area Outside Region","I Transport, Postal and Warehousing",9,
"Geographic Units","2022","Northland Region","J Information Media and Telecommunications",129,
"Geographic Units","2022","Auckland Region","J Information Media and Telecommunications",3885,
"Geographic Units","2022","Waikato Region","J Information Media and Telecommunications",324,
"Geographic Units","2022","Bay of Plenty Region","J Information Media and Telecommunications",249,
"Geographic Units","2022","Gisborne Region","J Information Media and Telecommunications",30,
"Geographic Units","2022","Hawke's Bay Region","J Information Media and Telecommunications",105,
"Geographic Units","2022","Taranaki Region","J Information Media and Telecommunications",75,
"Geographic Units","2022","Manawatu-Wanganui Region","J Information Media and Telecommunications",138,
"Geographic Units","2022","Wellington Region","J Information Media and Telecommunications",2154,
"Geographic Units","2022","Tasman Region","J Information Media and Telecommunications",45,
"Geographic Units","2022","Nelson Region","J Information Media and Telecommunications",66,
"Geographic Units","2022","Marlborough Region","J Information Media and Telecommunications",30,
"Geographic Units","2022","West Coast Region","J Information Media and Telecommunications",21,
"Geographic Units","2022","Canterbury Region","J Information Media and Telecommunications",519,
