WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2490419.4098031 6744035.10105716)",100100,North Cape,826.78512205,826.78512205,1579396.08115,6181775.2488,-34.50545276,172.77554997,2490419.4098031,6744035.10105716
"POINT (2523457.22819798 6698370.4403907)",100200,Rangaunu Harbour,272.10405305,272.10405305,1612554.6505,6136232.76615,-34.91627744,173.13744282,2523457.22819798,6698370.4403907
"POINT (2616264.18521603 6663978.77343791)",100300,Inlets Far North District,0,625.97275382,1705412.87215,6102111.0264,-35.21850133,174.15824941,2616264.18521603,6663978.77343791
"POINT (2545451.47977973 6689485.64988664)",100400,Karikari Peninsula,174.18081591,174.18081591,1634562.57445,6127415.05495,-34.99527816,173.37873836,2545451.47977973,6689485.64988664
"POINT (2530759.53569826 6675382.40665105)",100500,Tangonge,177.20434269,177.20434269,1619918.06695,6113278.3712,-35.12314727,173.21860407,2530759.53569826,6675382.40665105
"POINT (2525482.73936989 6671371.41331906)",100600,Ahipara,4.5292775,4.5292775,1614655.61185,6109255.02585,-35.15951697,173.16091938,2525482.73936989,6671371.41331906
"POINT (2534922.80272303 6677503.67307467)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,2534922.80272303,6677503.67307467
"POINT (2535188.29172145 6675510.78160643)",100800,Kaitaia West,3.21185052,3.21185052,1624343.92035,6113419.01755,-35.1217817,173.26717397,2535188.29172145,6675510.78160643
"POINT (2539200.06030243 6674814.62529699)",100900,Rangitihi,84.66042662,84.66042662,1628355.363,6112734.3932,-35.12785001,173.3112224,2539200.06030243,6674814.62529699
"POINT (2552956.04733998 6685212.47161559)",101000,Oruru-Parapara,103.28072757,103.28072757,1642075.24825,6123164.91395,-35.03331749,173.46127559,2552956.04733998,6685212.47161559
"POINT (2557228.58358703 6689239.84809909)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,2557228.58358703,6689239.84809909
"POINT (2544733.09036383 6667923.62796414)",101200,Herekino-Takahue,303.69091784,303.69091784,1633904.28605,6105862.4712,-35.18964254,173.37240745,2544733.09036383,6667923.62796414
"POINT (2551684.04086682 6675151.15632255)",101300,Peria,199.69058441,199.69058441,1640831.64315,6113105.20105,-35.12407747,173.44813792,2551684.04086682,6675151.15632255
"POINT (2563698.15468661 6686010.75065172)",101400,Taemaro-Oruaiti,156.73427166,156.73427166,1652809.93805,6123992.4508,-35.02535123,173.57890377,2563698.15468661,6686010.75065172
"POINT (2571347.577773 6683220.90482268)",101500,Whakapaku,200.87343203,200.87343203,1660463.4437,6121224.8387,-35.04987698,173.66299855,2571347.577773,6683220.90482268
"POINT (2541513.80367863 6648095.31774353)",101600,Hokianga North,345.93522228,345.93522228,1630740.62845,6086036.9,-35.36850897,173.33840098,2541513.80367863,6648095.31774353
"POINT (2552959.98622635 6656722.74244582)",101700,Kohukohu-Broadwood,209.19924258,209.19924258,1642157.01515,6094690.1174,-35.29006863,173.46362668,2552959.98622635,6656722.74244582
"POINT (2588384.77549755 6681598.97553927)",101800,Whakarara,169.49143734,169.49143734,1677497.5451,6119649.8363,-35.0629133,173.84991312,2588384.77549755,6681598.97553927
"POINT (2578558.28266469 6671585.61530492)",101900,Kaeo,255.57977504,255.57977504,1667702.38385,6109614.39505,-35.15410315,173.74331968,2578558.28266469,6671585.61530492
"POINT (2566988.01899637 6656800.06351644)",102000,Omahuta Forest-Horeke,463.54915239,463.54915239,1656177.3855,6094804.97815,-35.28834375,173.61780248,2566988.01899637,6656800.06351644
"POINT (2554699.57980584 6636963.04875208)",102100,Hokianga South,126.08745475,126.08745475,1643948.14205,6074946.17265,-35.46801387,173.48438703,2554699.57980584,6636963.04875208
"POINT (2589641.77406047 6668296.09071233)",102200,Lake Manuwai-Kapiro,59.06085734,59.06085734,1678789.75475,6106356.02255,-35.18267324,173.86535013,2589641.77406047,6668296.09071233
