Number of dependent children,0,1,2,3,4
9999,1057458,213927,206733,74334,30195
1,41982,6963,6612,3066,1605
100100,387,60,54,24,18
100200,471,75,90,48,33
100300,30,0,0,0,0
100400,333,27,21,15,9
100500,228,45,33,30,9
100600,243,51,36,21,12
100700,459,102,81,48,33
100800,660,156,114,66,57
100900,201,45,24,18,9
101000,174,33,30,12,3
101100,648,60,60,27,6
101200,207,33,36,24,9
101300,282,33,30,21,9
101400,189,33,21,6,6
101500,198,15,15,18,6
101600,141,24,24,12,12
101700,198,27,18,9,6
101800,285,45,36,15,12
101900,234,51,36,15,12
102000,198,30,21,18,12
102100,285,39,30,15,15
102200,462,87,102,36,9
102300,252,69,54,27,6
102400,333,54,60,24,15
102500,156,45,51,15,3
102600,369,81,63,30,12
102700,171,30,18,24,18
102800,573,75,84,42,15
102900,339,39,27,18,9
103000,753,108,81,33,9
103100,663,99,93,39,18
103200,264,48,48,18,9
103300,342,39,48,18,6
103400,261,42,39,21,21
103500,669,150,156,99,90
103600,135,30,24,15,9
103700,261,30,45,12,15
103800,267,24,15,6,3
103900,405,39,27,12,6
104000,93,21,12,12,6
104100,261,42,48,27,21
104200,213,15,12,3,0
104300,396,36,24,3,3
104400,156,33,12,9,6
104500,213,69,48,36,33
104600,231,66,51,39,12
104700,144,36,30,9,21
104800,354,69,60,39,27
104900,555,111,81,39,24
105000,6,0,0,0,0
105100,585,132,150,78,24
105200,291,66,63,42,27
105300,366,63,84,39,9
105400,747,117,180,72,30
105500,453,87,105,42,12
105600,450,54,78,18,9
105700,210,36,48,24,3
105800,504,132,138,75,33
105900,852,111,126,42,15
106000,360,96,96,30,12
106100,735,114,108,39,21
106200,702,117,114,54,45
106300,492,84,93,33,15
106400,306,69,45,42,39
106500,885,153,171,87,45
106600,1056,138,102,24,18
106700,285,60,66,27,6
106800,834,102,75,33,15
106900,807,162,141,51,24
107000,786,132,99,36,18
107100,234,27,15,12,3
107200,576,93,69,33,9
107300,516,126,123,63,57
107400,315,69,72,48,27
107500,504,117,93,42,15
107600,294,51,63,30,6
107700,270,60,48,24,12
107800,576,105,120,33,12
107900,21,0,0,0,0
108000,327,63,81,24,15
108100,456,72,63,24,12
108200,597,123,111,39,21
108300,612,99,96,36,24
108500,630,81,111,48,9
108600,486,69,93,36,24
108700,582,90,99,30,9
108800,666,105,96,51,18
108900,405,54,51,27,3
109000,831,93,96,33,18
109100,948,141,111,54,36
109200,432,69,75,33,21
109300,1293,204,141,87,45
109400,663,81,78,33,21
109500,459,42,60,33,18
109600,285,48,60,27,15
109700,459,81,69,36,18
109800,549,96,78,27,12
