Area,Male,Female
Total New Zealand by region/SA2,2542800,2581200
  Northland region,100300,101200
    100100 North Cape,930,880
    100200 Rangaunu Harbour,1340,1300
    100300 Inlets Far North district,20,20
    100400 Karikari Peninsula,720,690
    100500 Tangonge,650,610
    100600 Ahipara,710,730
    100700 Kaitaia East,1270,1370
    100800 Kaitaia West,1790,1900
    100900 Rangitihi,530,500
    101000 Oruru-Parapara,480,510
    101100 Taumarumaru,1260,1380
    101200 Herekino-Takahue,570,510
    101300 Peria,660,620
    101400 Taemaro-Oruaiti,520,500
    101500 Whakapaku,400,400
    101600 Hokianga North,500,480
    101700 Kohukohu-Broadwood,410,400
    101800 Whakarara,750,730
    101900 Kaeo,710,650
    102000 Omahuta Forest-Horeke,580,610
    102100 Hokianga South,690,690
    102200 Lake Manuwai-Kapiro,1210,1190
    102300 Okaihau,740,710
    102400 Rangitane-Purerua,880,870
    102500 Waipapa,500,510
    102600 Puketotara,1020,970
    102700 Waima Forest,650,590
    102800 Riverview,1220,1270
    102900 Waipoua Forest,670,660
    103000 Kerikeri Central,1300,1480
    103100 Kerikeri South,1400,1400
    103200 Ohaeawai-Waimate North,630,680
    103300 Puketona-Waitangi,820,720
    103400 Ngapuhi,1030,960
    103500 Kaikohe,2450,2450
    103600 Pakaraka,370,390
    103700 Haruru,600,600
    103800 Russell,410,400
    103900 Paihia,850,860
    104000 Mataraua Forest,290,290
    104100 Matawaia-Taumarere,820,750
    104200 Russell Peninsula,370,330
    104300 Opua (Far North district),640,640
    104400 Russell Forest-Rawhiti,380,410
    104500 Moerewa,970,970
    104600 Kawakawa,810,820
    104700 Maromaku,410,450
    104800 Mangakahia-Hukerenui,1110,1050
    104900 Whangaruru,1480,1380
    105000 Inlets other Whangarei district,10,10
    105100 Matarau,1740,1650
    105200 Hikurangi,850,890
    105300 Kauri,1000,950
    105400 Maungatapere,1950,1880
    105500 Kamo West,1100,1180
    105600 Matapouri-Tutukaka,970,960
    105700 Kiripaka,530,540
    105800 Kamo East,1660,1680
    105900 Granfield Reserve,1460,1660
    106000 Kamo Central,880,900
    106100 Whau Valley,1380,1530
    106200 Tikipunga North,1710,1970
    106300 Pukenui,1140,1220
    106400 Otangarei,1140,1150
    106500 Tikipunga South,2010,2150
    106600 Kensington (Whangarei district),1590,1800
    106700 Abbey Caves-Glenbervie,720,710
    106800 Mairtown,1160,1410
    106900 Maunu-Horahora,1720,1810
    107000 Woodhill-Vinetown,1520,1590
    107100 Whangarei Central,500,490
    107200 Riverside,1100,1150
    107300 Raumanga,1850,1780
    107400 Tarewa,1140,1080
    107500 Morningside (Whangarei district),1250,1280
    107600 Ngunguru,640,640
    107700 Otaika-Portland,780,720
    107800 Oakleigh-Mangapai,1250,1260
    107900 Port-Limeburners,160,100
    108000 Pataua,920,900
    108100 Onerahi Park,800,850
    108200 Sherwood Rise,1260,1340
    108300 Onerahi,1220,1380
    108400 Inlet Whangarei Harbour,10,10
    108500 Parua Bay,1350,1370
    108600 Bream Bay,1250,1160
    108700 Marsden Bay,1430,1470
    108800 Ruakaka,1450,1440
    108900 Bream Head,810,760
    109001 Waipu,600,630
    109002 Waipu Rural,1010,990
    109100 Kaipara Coastal,2160,2020
    109200 Maungaru,1010,950
    109300 Dargaville,2560,2670
    109400 Ruawai-Matakohe,1470,1300
    109500 Otamatea (Kaipara district),1000,950
    109600 Maungaturoto,730,710
    109700 Kaiwaka,1320,1320
    109800 Mangawhai Rural,1500,1510
    109900 Mangawhai Heads,1380,1330
    110000 Inlet Mangawhai Harbour,0,0
    110100 Mangawhai,610,680
    258200 Oceanic Northland region,0,0
    258300 Inlet Doubtless Bay,0,0
    258400 Inlet Kaipara Harbour North,0,0
  Auckland region,842000,853200
    110200 Okahukura Peninsula,880,800
    110300 Inlet Kaipara Harbour South,0,0
    110400 Cape Rodney,2090,1990
    110500 Wellsford,1150,1100
    110600 Oceanic Auckland region East,10,0
    110700 South Head,1490,1450
    110800 Kaipara Hills,1120,1120
    110900 Dome Valley-Matakana,890,870
    111000 Oceanic Auckland region West,0,0
    111100 Warkworth West,1360,1420
    111200 Puhoi Valley,2110,2140
    111300 Warkworth East,1850,1980
    111400 Sandspit,540,510
    111500 Tawharanui Peninsula,1080,1120
    111600 Te Kuru,1420,1460
    111700 Snells Beach,1920,1980
    111800 Barrier Islands,570,480
    111900 Algies Bay-Scotts Landing,610,610
    112000 Inlets other Auckland,10,10
    112100 Wainui-Waiwera,930,930
    112200 Parakai,600,610
    112300 Helensville Rural,890,910
    112400 Helensville,1620,1610
    112500 Waitoki,870,880
    112600 Waikoukou Valley,950,960
    112700 Orewa North,2090,2360
    112800 Hatfields Beach,780,790
    112900 Orewa South,1880,2130
    113000 Orewa Central,1460,1860
    113100 Millwater North,2010,2000
    113200 Waipatukahu,820,850
    113300 Millwater South,1970,1990
    113400 Dairy Flat North,1400,1400
    113500 Dairy Flat West,820,800
    113600 Kingsway,1150,1170
    113700 Riverhead Forest,0,0
    113800 Silverdale Central (Auckland),240,180
    113900 Red Beach West,1440,1620
    114000 Red Beach East,1960,2110
    114100 Silverdale South (Auckland),1060,1060
