SA22018_code,SA22018_name,SA2_average_NZDep2018,SA2_average_NZDep2018_score,URPopnSA2_2018
100100,North Cape,10,1134,1602
100200,Rangaunu Harbour,9,1105,2310
100300,Inlets Far North District,7,1031,45
100400,Karikari Peninsula,8,1062,1251
100500,Tangonge,9,1080,1134
100600,Ahipara,9,1105,1230
100700,Kaitaia East,10,1231,2388
100800,Kaitaia West,10,1238,3483
100900,Rangitihi,8,1057,936
101000,Oruru-Parapara,9,1103,846
101100,Taumarumaru,8,1057,2193
101200,Herekino-Takahue,10,1147,963
101300,Peria,10,1162,1107
101400,Taemaro-Oruaiti,9,1087,867
101500,Whakapaku,9,1082,744
101600,Hokianga North,10,1266,795
101700,Kohukohu-Broadwood,10,1184,726
101800,Whakarara,10,1136,1344
101900,Kaeo,10,1139,1191
102000,Omahuta Forest-Horeke,10,1218,1056
102100,Hokianga South,10,1196,1236
102200,Lake Manuwai-Kapiro,4,959,2133
102300,Okaihau,8,1050,1236
102400,Rangitane-Purerua,7,1022,1506
102500,Waipapa,5,976,870
102600,Puketotara,4,951,1677
102700,Waima Forest,10,1252,1095
102800,Riverview,4,955,2109
102900,Waipoua Forest,10,1180,1215
103000,Kerikeri Central,9,1065,2502
103100,Kerikeri South,4,948,2553
103200,Ohaeawai-Waimate North,7,1029,1140
103300,Puketona-Waitangi,5,975,1335
103400,Ngapuhi,10,1202,1797
103500,Kaikohe,10,1302,4437
103600,Pakaraka,7,1023,666
103700,Haruru,7,1009,1077
103800,Russell,5,966,762
103900,Paihia,9,1063,1512
104000,Mataraua Forest,10,1214,507
104100,Matawaia-Taumarere,10,1151,1374
104200,Russell Peninsula,6,992,606
104300,Opua (Far North District),6,989,1137
104400,Russell Forest-Rawhiti,10,1145,690
104500,Moerewa,10,1290,1632
104600,Kawakawa,10,1196,1464
104700,Maromaku,9,1106,774
104800,Mangakahia-Hukerenui,9,1091,1923
104900,Whangaruru,9,1069,2520
105000,Inlets other Whangarei District,,,9
105100,Matarau,2,927,2979
105200,Hikurangi,10,1142,1617
105300,Kauri,2,927,1746
105400,Maungatapere,3,945,3477
105500,Kamo West,6,1001,2205
105600,Matapouri-Tutukaka,4,957,1692
105700,Kiripaka,5,982,993
105800,Kamo East,9,1109,2871
105900,Granfield Reserve,6,984,3099
106000,Kamo Central,8,1035,1680
106100,Whau Valley,8,1044,2799
106200,Tikipunga North,10,1154,3003
106300,Pukenui,1,911,2040
106400,Otangarei,10,1389,2109
106500,Tikipunga South,9,1087,3903
106600,Kensington (Whangarei),8,1062,3240
106700,Abbey Caves-Glenbervie,1,910,1329
106800,Mairtown,9,1077,2475
106900,Maunu-Horahora,6,1005,3276
107000,Woodhill-Vinetown,9,1085,2847
107100,Whangarei Central,10,1136,954
107200,Riverside,6,1001,2085
107300,Raumanga,10,1189,3330
107400,Tarewa,10,1244,1962
107500,Morningside (Whangarei),9,1102,2340
107600,Ngunguru,6,988,1164
107700,Otaika-Portland,5,981,1338
107800,Oakleigh-Mangapai,5,978,2310
107900,Port-Limeburners,6,993,102
108000,Pataua,4,956,1584
108100,Onerahi Park,6,989,1584
108200,Sherwood Rise,9,1085,2457
108300,Onerahi,9,1088,2457
108400,Inlet Whangarei Harbour,,,12
108500,Parua Bay,3,935,2460
108600,Bream Bay,6,1001,2073
108700,Marsden Bay,4,956,2208
